epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,15542.5,1.31694,1.23846,1.39745,0.76918,0.66216,0.75398,0.48701,1.21142,1.04472,1.26893,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,17137.8,1.31405,1.23874,1.39315,0.76992,0.66205,0.75418,0.48773,1.21043,1.04229,1.2681,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,18193.8,1.31116,1.2371,1.39234,0.76968,0.66346,0.75522,0.4886,1.20894,1.04071,1.26687,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,19456.1,1.3036,1.23125,1.38556,0.77097,0.66333,0.75562,0.48955,1.20728,1.03859,1.26552,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,20618.3,1.30837,1.22665,1.38983,0.77131,0.66466,0.75668,0.49037,1.20588,1.03626,1.26449,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,21695.4,1.29701,1.22308,1.38108,0.77141,0.66541,0.75739,0.49109,1.2045,1.03418,1.26334,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,22787.1,1.29552,1.21435,1.37631,0.77016,0.66811,0.75823,0.49187,1.20341,1.03191,1.26237,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,23955.3,1.29235,1.20628,1.37559,0.77341,0.667,0.75903,0.49272,1.20202,1.02936,1.26156,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,25351,1.29221,1.20334,1.37617,0.77332,0.66791,0.75937,0.49339,1.201,1.02756,1.26087,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,26463.1,1.28868,1.19507,1.37478,0.77376,0.66909,0.76014,0.49408,1.19977,1.02515,1.26002,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,27710.1,1.28658,1.19755,1.37174,0.77436,0.67009,0.7607,0.49489,1.19825,1.02322,1.2589,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,29179.5,1.27986,1.1913,1.36626,0.77493,0.67104,0.76138,0.49572,1.19739,1.02053,1.25819,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,30570.6,1.28087,1.1866,1.36492,0.77518,0.67137,0.76224,0.49641,1.19678,1.0181,1.25729,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,975.057,1.2541,1.15009,1.3513,0.77481,0.67127,0.76275,0.49709,1.19599,1.01548,1.25639,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,2129.07,1.26086,1.15995,1.35327,0.77646,0.67064,0.76301,0.49774,1.19523,1.01311,1.25582,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,3439.47,1.25778,1.14872,1.34784,0.77547,0.67319,0.7636,0.49836,1.19464,1.01147,1.25545,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,1034.2,1.22886,1.11742,1.33201,0.77607,0.67326,0.76394,0.49868,1.1945,1.00918,1.255,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,2165.99,1.24514,1.1368,1.34095,0.7755,0.67396,0.76457,0.49886,1.19446,1.00754,1.25476,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,3476.52,1.24739,1.13165,1.33837,0.7741,0.67494,0.7645,0.49914,1.19409,1.00591,1.25421,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,4737.57,1.2431,1.12589,1.3407,0.77579,0.67412,0.7651,0.49962,1.19401,1.00377,1.25401,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,5911.03,1.24515,1.1256,1.34122,0.77735,0.67442,0.7652,0.50011,1.19354,1.00231,1.25355,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,7038.73,1.23787,1.11971,1.33556,0.78013,0.67245,0.76563,0.50041,1.19282,1.00064,1.25285,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,8249.03,1.2363,1.11141,1.33367,0.77936,0.67386,0.76605,0.50088,1.19245,0.99849,1.25213,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,9378.46,1.22826,1.10595,1.32823,0.77959,0.67463,0.76631,0.50131,1.19186,0.99642,1.25142,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,10563.7,1.22323,1.09941,1.32348,0.7788,0.67535,0.76678,0.50186,1.19157,0.99454,1.25078,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,12077.5,1.22164,1.09015,1.32089,0.77989,0.67545,0.76732,0.50237,1.19111,0.99275,1.25023,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,13695.9,1.21002,1.08199,1.31544,0.77958,0.67611,0.76775,0.50293,1.19105,0.99047,1.24976,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,15020.6,1.21224,1.07307,1.31735,0.78049,0.67621,0.7681,0.5035,1.19049,0.98891,1.24895,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,16645.1,1.20595,1.07112,1.31184,0.78021,0.67752,0.76855,0.50372,1.19025,0.9875,1.24837,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,17700.2,1.20373,1.06431,1.31261,0.77944,0.67844,0.76893,0.50418,1.18951,0.98591,1.24769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,18957.6,1.19905,1.0575,1.30643,0.78204,0.67664,0.76914,0.50465,1.18923,0.98471,1.24713,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,20116.1,1.19812,1.05612,1.30807,0.78276,0.67713,0.76974,0.50499,1.18934,0.98321,1.24702,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,21206.2,1.19105,1.04884,1.30145,0.78239,0.67798,0.77003,0.50507,1.18891,0.98225,1.2467,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,22331.9,1.18627,1.04092,1.29677,0.78205,0.67886,0.77035,0.50556,1.1889,0.98088,1.24642,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,23517.5,1.18191,1.03003,1.29345,0.78378,0.67818,0.77067,0.5057,1.189,0.97961,1.24627,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,24919.1,1.18103,1.03091,1.29233,0.7834,0.67828,0.77073,0.50594,1.1889,0.97855,1.24619,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
77,26030.7,1.17926,1.02286,1.29166,0.7859,0.67685,0.77089,0.50611,1.18907,0.97767,1.24597,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
78,27140.7,1.17475,1.02038,1.2877,0.78423,0.67839,0.7712,0.50629,1.18906,0.9766,1.24572,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
79,988.659,1.14343,0.98684,1.27295,0.78151,0.68039,0.77104,0.50617,1.18993,0.97518,1.24647,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
80,2170.51,1.14945,0.9933,1.27647,0.78211,0.68012,0.77074,0.50615,1.19059,0.97371,1.24718,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
81,3449.88,1.14722,0.98266,1.2707,0.78211,0.68019,0.77071,0.50591,1.19133,0.97274,1.24781,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
82,4650.97,1.14162,0.97787,1.26979,0.78021,0.68184,0.77067,0.50571,1.19218,0.97225,1.24847,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951
83,6544.2,1.14343,0.97689,1.27046,0.77921,0.68243,0.77056,0.50533,1.19314,0.97187,1.24913,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
84,896.443,1.11472,0.95028,1.25586,0.77939,0.68253,0.77032,0.50499,1.19483,0.97175,1.25042,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327
85,2028.31,1.12572,0.9629,1.26223,0.77788,0.68361,0.77012,0.50455,1.19608,0.97155,1.25179,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
86,3415.74,1.12818,0.9568,1.26007,0.77671,0.68382,0.76973,0.50417,1.19746,0.9716,1.25298,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
87,4689.53,1.12722,0.95647,1.26288,0.77631,0.68438,0.76948,0.50362,1.19866,0.97192,1.25406,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
88,5985.67,1.13212,0.9607,1.26614,0.77809,0.68368,0.76912,0.50336,1.19959,0.97211,1.25481,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115
89,7258.26,1.13056,0.95959,1.26211,0.7775,0.68332,0.76898,0.50288,1.20062,0.97262,1.25556,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
90,8609.64,1.13032,0.95458,1.26086,0.77725,0.68336,0.76873,0.50268,1.20175,0.97263,1.25647,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264
91,10018.2,1.10647,0.85196,1.22917,0.77604,0.68344,0.76836,0.50249,1.20267,0.97281,1.25705,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
92,11323.6,1.0991,0.84231,1.22468,0.77584,0.68343,0.76793,0.50229,1.20347,0.97324,1.25754,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546
93,12881.4,1.09536,0.84176,1.21866,0.77589,0.68274,0.76746,0.50203,1.20416,0.97382,1.25808,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
94,14006.6,1.09305,0.82742,1.2177,0.77536,0.68253,0.7673,0.50187,1.20501,0.9741,1.25866,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212
95,15192.4,1.09012,0.83035,1.21724,0.77462,0.68236,0.76695,0.50155,1.20599,0.97441,1.2594,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
96,854.842,1.08172,0.90839,1.23512,0.77503,0.68146,0.76682,0.50127,1.20701,0.97456,1.26035,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
97,2007.94,1.09298,0.91785,1.24167,0.77518,0.68081,0.76654,0.5009,1.20812,0.97494,1.26141,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
98,3277.16,1.09638,0.91484,1.23993,0.77458,0.68124,0.76614,0.50046,1.20934,0.97551,1.26263,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968
99,4424.71,1.0988,0.9187,1.24534,0.77415,0.68088,0.76599,0.50005,1.21048,0.97608,1.26376,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
100,5588.04,1.10808,0.92703,1.25108,0.77407,0.6809,0.76557,0.49967,1.21142,0.9765,1.2647,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443
